id,name,txd,type
400,landstal,landstal,car
401,bravura,bravura,car
402,buffalo,buffalo,car
403,linerun,linerun,car
404,peren,peren,car
405,sentinel,sentinel,car
406,dumper,dumper,mtruck
407,firetruk,firetruk,car
408,trash,trash,car
409,stretch,stretch,car
410,manana,manana,car
411,infernus,infernus,car
412,voodoo,voodoo,car
413,pony,pony,car
414,mule,mule,car
415,cheetah,cheetah,car
416,ambulan,ambulan,car
417,leviathn,leviathn,heli
418,moonbeam,moonbeam,car
419,esperant,esperant,car
420,taxi,taxi,car
421,washing,washing,car
422,bobcat,bobcat,car
423,mrwhoop,mrwhoop,car
424,bfinject,bfinject,car
425,hunter,hunter,heli
426,premier,premier,car
427,enforcer,enforcer,car
428,securica,securica,car
429,banshee,banshee,car
430,predator,predator,boat
431,bus,bus,car
432,rhino,rhino,car
433,barracks,barracks,car
434,hotknife,hotknife,car
435,artict1,artict1,trailer
436,previon,previon,car
437,coach,coach,car
438,cabbie,cabbie,car
439,stallion,stallion,car
440,rumpo,rumpo,car
441,rcbandit,rcbandit,car
442,romero,romero,car
443,packer,packer,car
444,monster,monster,mtruck
445,admiral,admiral,car
446,squalo,squalo,boat
447,seaspar,seaspar,heli
448,pizzaboy,pizzaboy,bike
449,tram,tram,train
450,artict2,artict2,trailer
451,turismo,turismo,car
452,speeder,speeder,boat
453,reefer,reefer,boat
454,tropic,tropic,boat
455,flatbed,flatbed,car
456,yankee,yankee,car
457,caddy,caddy,car
458,solair,solair,car
459,topfun,topfun,car
460,skimmer,skimmer,plane
461,pcj600,pcj600,bike
462,faggio,faggio,bike
463,freeway,freeway,bike
464,rcbaron,rcbaron,plane
465,rcraider,rcraider,heli
466,glendale,glendale,car
467,oceanic,oceanic,car
468,sanchez,sanchez,bike
469,sparrow,sparrow,heli
470,patriot,patriot,car
471,quad,quad,quad
472,coastg,coastg,boat
473,dinghy,dinghy,boat
474,hermes,hermes,car
475,sabre,sabre,car
476,rustler,rustler,plane
477,zr350,zr350,car
478,walton,walton,car
479,regina,regina,car
480,comet,comet,car
481,bmx,bmx,bmx
482,burrito,burrito,car
483,camper,camper,car
484,marquis,marquis,boat
485,baggage,baggage,car
486,dozer,dozer,car
487,maverick,maverick,heli
488,vcnmav,vcnmav,heli
489,rancher,rancher,car
490,fbiranch,fbiranch,car
491,virgo,virgo,car
492,greenwoo,greenwoo,car
493,jetmax,jetmax,boat
494,hotring,hotring,car
495,sandking,sandking,car
496,blistac,blistac,car
497,polmav,polmav,heli
498,boxville,boxville,car
499,benson,benson,car
500,mesa,mesa,car
501,rcgoblin,rcgoblin,heli
502,hotrina,hotrina,car
503,hotrinb,hotrinb,car
504,bloodra,bloodra,car
505,rnchlure,rnchlure,car
506,supergt,supergt,car
507,elegant,elegant,car
508,journey,journey,car
509,bike,bike,bmx
510,mtbike,mtbike,bmx
511,beagle,beagle,plane
512,cropdust,cropdust,plane
513,stunt,stunt,plane
514,petro,petro,car
515,rdtrain,rdtrain,car
516,nebula,nebula,car
517,majestic,majestic,car
518,buccanee,buccanee,car
519,shamal,shamal,plane
520,hydra,hydra,plane
521,fcr900,fcr900,bike
522,nrg500,nrg500,bike
523,copbike,copbike,bike
524,cement,cement,car
525,towtruck,towtruck,car
526,fortune,fortune,car
527,cadrona,cadrona,car
528,fbitruck,fbitruck,car
529,willard,willard,car
530,forklift,forklift,car
531,tractor,tractor,car
532,combine,combine,car
533,feltzer,feltzer,car
534,remingtn,remingtn,car
535,slamvan,slamvan,car
536,blade,blade,car
537,freight,freight,train
538,streak,streak,train
539,vortex,vortex,plane
540,vincent,vincent,car
541,bullet,bullet,car
542,clover,clover,car
543,sadler,sadler,car
544,firela,firela,car
545,hustler,hustler,car
546,intruder,intruder,car
547,primo,primo,car
548,cargobob,cargobob,heli
549,tampa,tampa,car
550,sunrise,sunrise,car
551,merit,merit,car
552,utility,utility,car
553,nevada,nevada,plane
554,yosemite,yosemite,car
555,windsor,windsor,car
556,monstera,monstera,mtruck
557,monsterb,monsterb,mtruck
558,uranus,uranus,car
559,jester,jester,car
560,sultan,sultan,car
561,stratum,stratum,car
562,elegy,elegy,car
563,raindanc,raindanc,heli
564,rctiger,rctiger,car
565,flash,flash,car
566,tahoma,tahoma,car
567,savanna,savanna,car
568,bandito,bandito,car
569,freiflat,freiflat,train
570,streakc,streakc,train
571,kart,kart,car
572,mower,mower,car
573,duneride,duneride,mtruck
574,sweeper,sweeper,car
575,broadway,broadway,car
576,tornado,tornado,car
577,at400,at400,plane
578,dft30,dft30,car
579,huntley,huntley,car
580,stafford,stafford,car
581,bf400,bf400,bike
582,newsvan,newsvan,car
583,tug,tug,car
584,petrotr,petrotr,trailer
585,emperoremperor,car
586,wayfarerwayfarer,bike
587,euros,euros,car
588,hotdog,hotdog,car
589,club,club,car
590,freibox,freibox,train
591,artict3,artict3,trailer
592,androm,androm,plane
593,dodododo,plane
594,rccam,rccam,car
595,launch,launch,boat
596,copcarla,copcarla,car
597,copcarsf,copcarsf,car
598,copcarvg,copcarvg,car
599,copcarru,copcarru,car
600,picador,picador,car
601,swatvan,swatvan,car
602,alpha,alpha,car
603,phoenix,phoenix,car
604,glenshit,glenshit,car
605,sadlshit,sadlshit,car
606,bagboxa,bagboxa,trailer
607,bagboxb,bagboxb,trailer
608,tugstair,tugstair,trailer
609,boxburg,boxburg,car,
610,farmtr1,farmtr1,trailer
611,utiltr1,utiltr1,trailer